director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action Comedy Crime Thriller,beverly hills cop iii,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller beverly hills cop iii
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,Comedy Fantasy Horror,gremlins 2: the new batch,Christopher Lee Robert Picardo Phoebe Cates Joe Dante Comedy Fantasy Horror gremlins 2: the new batch
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,Crime Drama,the judge,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin Crime Drama the judge
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action Thriller,the peacemaker,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller the peacemaker
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,resident evil: apocalypse,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller resident evil: apocalypse
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,Comedy Drama Romance,bridget jones: the edge of reason,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance bridget jones: the edge of reason
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,Crime Drama Romance Thriller,out of time,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller out of time
Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,Action Adventure Thriller,on deadly ground,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller on deadly ground
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action Adventure Family Fantasy,the adventures of sharkboy and lavagirl 3-d,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy the adventures of sharkboy and lavagirl 3-d
Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Adventure Drama Thriller,the beach,Leonardo DiCaprio Virginie Ledoyen Peter Youngblood Hills Danny Boyle Adventure Drama Thriller the beach
Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,Comedy Drama Romance,raising helen,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance raising helen
James McTeigue,Shô Kosugi,Ben Miles,Rain,Action Crime Thriller,ninja assassin,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller ninja assassin
Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Drama Romance Sport,for love of the game,J.K. Simmons Kelly Preston Carmine Giovinazzo Sam Raimi Drama Romance Sport for love of the game
unknown,David Jason,Bruce Alexander,John Lyons,Crime Drama Mystery,a touch of frost            ,David Jason Bruce Alexander John Lyons unknown Crime Drama Mystery a touch of frost            
Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,Comedy Crime Drama Thriller,striptease,Demi Moore Rumer Willis Paul Guilfoyle Andrew Bergman Comedy Crime Drama Thriller striptease
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,Comedy Family,marmaduke,Emma Stone Judy Greer Steve Coogan Tom Dey Comedy Family marmaduke
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,Drama Fantasy,hereafter,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy hereafter
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action Crime Thriller,assassins,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller assassins
Peter Webber,Li Gong,Stephen Walters,Richard Brake,Crime Drama Thriller,hannibal rising,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller hannibal rising
Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,Comedy Drama Romance,the story of us,Bruce Willis Tim Matheson Rita Wilson Rob Reiner Comedy Drama Romance the story of us
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,basic,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller basic
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,blood work,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller blood work
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,the international,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller the international
John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,Action Adventure Sci-Fi Thriller,escape from l.a.,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Sci-Fi Thriller escape from l.a.
unknown,Grey Damon,Brittany Curran,Aaron Hill,Drama Mystery Thriller,twisted            ,Grey Damon Brittany Curran Aaron Hill unknown Drama Mystery Thriller twisted            
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Action Adventure Animation Comedy Drama Family Sci-Fi,the iron giant,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Sci-Fi the iron giant
Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Adventure Comedy Drama,the life aquatic with steve zissou,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama the life aquatic with steve zissou
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action Biography Drama History War,free state of jones,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War free state of jones
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,Crime Drama Thriller,the life of david gale,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller the life of david gale
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action Comedy,man of the house,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy man of the house
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,Action Crime Drama Thriller,run all night,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller run all night
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,eastern promises,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller eastern promises
John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,into the blue,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller into the blue
Luc Besson,Paul Brooke,David Bailie,Rab Affleck,Adventure Biography Drama History War,the messenger: the story of joan of arc,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War the messenger: the story of joan of arc
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,Adventure Comedy Fantasy,your highness,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy your highness
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama Mystery Thriller,dream house,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller dream house
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,Crime Drama Thriller,mad city,Mia Kirshner Blythe Danner William Atherton Costa-Gavras Crime Drama Thriller mad city
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Adventure Comedy Crime Drama Family,baby's day out,Joe Mantegna Lara Flynn Boyle Cynthia Nixon Patrick Read Johnson Adventure Comedy Crime Drama Family baby's day out
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,Drama Romance,the scarlet letter,Gary Oldman Robert Duvall Demi Moore Roland Joffé Drama Romance the scarlet letter
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,fair game,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller fair game
unknown,Julie Benz,Tony Curran,Grant Bowler,Action Drama Sci-Fi,defiance            ,Julie Benz Tony Curran Grant Bowler unknown Action Drama Sci-Fi defiance            
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action Biography Crime Drama Thriller,domino,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller domino
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime Drama Thriller,jade,Michael Biehn Chazz Palminteri Linda Fiorentino William Friedkin Crime Drama Thriller jade
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,gamer,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller gamer
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama Fantasy Romance,beautiful creatures,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance beautiful creatures
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,Comedy Crime Drama Thriller,death to smoochy,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller death to smoochy
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,zoolander 2,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy zoolander 2
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,Comedy Crime,the big bounce,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime the big bounce
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,Comedy Sci-Fi,what planet are you from?,Judy Greer Linda Fiorentino Garry Shandling Mike Nichols Comedy Sci-Fi what planet are you from?
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,drive angry,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller drive angry
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller street fighter: the legend of chun-li
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,the one,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller the one
unknown,Tobias Menzies,Graham McTavish,Stephen Walters,Drama Romance Sci-Fi,outlander            ,Tobias Menzies Graham McTavish Stephen Walters unknown Drama Romance Sci-Fi outlander            
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery the adventures of ford fairlane
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,pirate radio,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music pirate radio
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,traffic,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller traffic
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,indiana jones and the last crusade,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy indiana jones and the last crusade
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,anna karenina,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance anna karenina
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller chappie
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,the bone collector,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller the bone collector
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,panic room,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller panic room
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,the tooth fairy,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller the tooth fairy
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,three kings,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War three kings
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,child 44,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller child 44
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,rat race,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy rat race
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi k-pax
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,kate & leopold,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance kate & leopold
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,bedazzled,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance bedazzled
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,the cotton club,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music the cotton club
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,3:10 to yuma,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western 3:10 to yuma
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller taken 3
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,Crime Drama Romance Thriller,out of sight,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller out of sight
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,Comedy Drama Thriller,the cable guy,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller the cable guy
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,Drama Romance War,earth,Nandita Das Gulshan Grover Eric Peterson Deepa Mehta Drama Romance War earth
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,dick tracy,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller dick tracy
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,Crime Romance Thriller,the thomas crown affair,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller the thomas crown affair
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,riding in cars with boys,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama riding in cars with boys
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,solaris,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Sci-Fi solaris
Paul Bolger,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,happily n'ever after,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy happily n'ever after
Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,Drama Horror Romance Thriller,mary reilly,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller mary reilly
P.J. Hogan,Julia Roberts,Christopher Masterson,Rupert Everett,Comedy Romance,my best friend's wedding,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance my best friend's wedding
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,america's sweethearts,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance america's sweethearts
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller insomnia
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Sci-Fi Thriller star trek: first contact
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western jonah hex
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War courage under fire
Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Comedy Fantasy Romance,liar liar,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy Fantasy Romance liar liar
Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Biography Crime Drama Thriller,the infiltrator,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography Crime Drama Thriller the infiltrator
Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,inchon,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War inchon
Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Comedy Family Fantasy,the flintstones,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy Family Fantasy the flintstones
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller taken 2
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,scary movie 3,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy scary movie 3
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,miss congeniality,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance miss congeniality
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi journey to the center of the earth
Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,the princess diaries 2: royal engagement,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance the princess diaries 2: royal engagement
Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,the pelican brief,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller the pelican brief
Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,the client,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller the client
Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,the bucket list,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama the bucket list
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,patriot games,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller patriot games
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,monster-in-law,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance monster-in-law
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller prisoners
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,training day,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller training day
Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi,galaxy quest,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure Comedy Sci-Fi galaxy quest
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,scary movie 2,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy scary movie 2
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,the muppets,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical the muppets
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,blade,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror blade
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,coach carter,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport coach carter
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,changing lanes,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller changing lanes
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,anaconda,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller anaconda
David McNally,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance,coyote ugly,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy Drama Music Romance coyote ugly
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,love actually,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance love actually
John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy,a bug's life,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure Animation Comedy Family Fantasy a bug's life
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,the specialist,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller the specialist
Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport,tin cup,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy Drama Romance Sport tin cup
Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family,"yours, mine and ours","Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy Family yours, mine and ours"
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,kicking & screaming,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport kicking & screaming
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Sci-Fi the hitchhiker's guide to the galaxy
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,fat albert,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance fat albert
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller resident evil: extinction
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,blended,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance blended
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,last holiday,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama last holiday
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,the river wild,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller the river wild
Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,the indian in the cupboard,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy the indian in the cupboard
Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,savages,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller savages
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller cellular
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy johnny english
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,the ant bully,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy the ant bully
David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi,dune,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action Adventure Sci-Fi dune
Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,revolutionary road,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance revolutionary road
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller 16 blocks
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller babylon a.d.
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,the glimmer man,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller the glimmer man
Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi,multiplicity,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy Romance Sci-Fi multiplicity
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Sci-Fi aliens in the attic
Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller the pledge
Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,the producers,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical the producers
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi dredd
Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,the phantom,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy the phantom
